Ivete Sangalo;musica, brasil, mulheres;3
Jacaré, do "É o Tchan";musica, brasil, negros;3
Jack Bauer;tv, heroi;5
Jack Sparrow;cinema, heroi;4
Jack, do Titanic;cinema;4
Jackie Chan;cinema;4
Jaffar, do "Aladdin";cinema, disney, vilao;4
James Franco;cinema;4
Jean Willys;politica, brasil, gay;2
Jesse Pinkman;tv;5
Jesus Cristo;religiao, biblia, historia;1
Jô Soares;tv, brasil;5
João Paulo II;religiao;1
Joey, do Friends;tv;5
John Kennedy;politica;2
John Lennon;musica;3
John Locke, de "Lost";tv;5
John McClane;cinema, heroi;4
John Travolta;cinema;4
Johnny Bravo;tv, desenho;5
Johnny Depp;cinema;4
José Luiz Datena;tv, brasil;5
José Sarney;politica, brasil;2
José Serra;politica, brasil;2
Justin Bieber;musica, gay;3
Katy Perry;musica, mulheres;3
Keith Richards;musica, drogas;3
Ken;games, luta;6
Kid Bengala;brasil, subcelebridade;1
Kin Jong-Un;politica, vliao;2
Lance Armstrong;esporte;6
Lancelot;historia;1
Lara Croft;games, mulheres, heroi;6
Latino;musica, brasil;3
Lázaro Ramos;tv, brasil, negros;5
Legolas;livros, sda;7
Léo Batista;esporte, brasil, futebol;6
Leonardo diCaprio;cinema;4
Leslie Nielsen;cinema;4
Levy Fidelix;politica, brasil;2
Ligeirinho;tv, desenho, animal;5
Link;games, heroi;6
Lobão;musica, politica;3
Lord Voldemort;livros, harrypotter, vilao;7
Luciano Huck;tv, brasil;5
Luciano Pavarotti;musica;3
Luke Skywalker;cinema, starwars, heroi;4
Lula;politica, brasil, vilao;2
Madonna;musica, mulheres;3
Mafalda;livros;7
Magneto;hq, marvel, vilao;7
Maguila;esporte, brasil;6
Mahatma Gandhi;religiao;1
Mao Tse Tung;politica;2
Maomé;religiao;1
Maquiavel;historia, politica;1
Maradona;esporte, futebol, drogas;6
Marcelo Rezende;tv, brasil;5
Marcelo Tas;tv, brasil;5
Marge Simpson;tv, desenho, simpsons, mulheres;5
Maria Madalena;religiao, biblia;1
Marina Silva;politica, mulheres;2
Mark Zuckerberg;computacao, dinheiro, empresas;1
Martin Freeman;cinema;4
Martin Luther King;historia, negros, politica;1
Mary Jane Watson;hq, marvel, mulheres;7
Mauricio Mattar;musica, brasil;3
Mel Gibson;cinema;4
Meryl Streep;cinema;4
Messi;esporte, futebol;6
mestre Yoda;cinema, starwars, heroi;4
Michael Bay;cinema;4
Michael J. Fox;cinema;4
Michael Jackson;musica;3
Michael Jordan;esporte, negros;6
Michael Phelps;esporte;6
Michael Schumacher;esporte, alemanha;6
Mickey Mouse;tv, animal, desenho, disney;5
Mike Tyson;esporte, negros, luta;6
Mike Wazowski, de "Monstros S.A.";cinema, disney;4
Milton Neves;tv, brasil;5
Moacyr Franco;musica, brasil;3
Moisés;historia, biblia, religiao;1
Morgan Freeman;cinema, negros;4
Mr. Catra;musica, brasil;3
Muhammad Ali;esporte, luta;6
Mulher Maravilha;hq, dc, mulheres, heroi;7
Mussum;tv, brasil, negros;5
Napoleão Bonaparte;politica, historia;2
Ned Stark;livros, got;7
Neil Armstrong;historia, politica;1
Nelson Mandela;politica, negros;2
Nemo;cinema, disney, animal;4
Neo, de "Matrix";cinema, heroi;4
Neymar;esporte, brasil, futebol;6
Nicolas Cage;cinema;4
Noé;biblia, religiao;1
o alcorão;religiao;9
o coelhinho da Páscoa;mitologia;1
o demônio;mitologia, religiao;1
o exterminador do Futuro;cinema, heroi;4
o filho do Will Smith;cinema;4
o Google;empresas;9
o grilo falante;cinema, disney, animal;4
o hobbit Sam;livros, sda;7
o homem de lata;cinema;4
o incrível Hulk;hq, marvel, heroi;7
o lobisomem;cinema, mitologia;4
o Lobo;hq, marvel, heroi;7
o marciano Marvin;tv, desenho;5
o Máskara;cinema, heroi;4
o minotauro;livros, mitologia;7
o papa;religiao;1
o Power Ranger verde;tv, heroi;5
O. J. Simpson;esporte, negros;6
Optimus Prime;desenho, heroi, robo;5
Osama Bin Laden;politica;2
Oscar Pistorius;esporte;6
Oscar Schmidt;esporte, brasil;6
Padre Quevedo;brasil, religiao;1
palhaço Krusty;tv, simpsons, desenho;5
Papa Léguas;tv, desenho, animal;5
Papai Noel;mitologia;1
Pato Donald;tv, desenho, animal, disney;5
Patolino;tv, desenho, animal;5
Patrícia Abravanel;tv, brasil, mulheres;5
Paul McCartney;musica;3
Paulo Maluf;politica, brasil;2
Peach, a princesa de Mario;games, mulheres, heroi;6
Pedro Bial;tv, brasil;5
Pelé;esporte, brasil, futebol;6
Pernalonga;tv, desenho, animal;5
Peter Griffin;tv, desenho;5
Peter Jackson;cinema;4
Peter Pan;cinema, disney, heroi;4
Pica Pau;tv, desenho, animal;5
Pikachu;desenho, heroi, animal;5
Pinóquio;cinema, disney;4
Platão;historia;7
Preta Gil;musica, mulheres, negros;3
princesa Fiona, de "Shrek";cinema, mulheres;4
princesa Léia;cinema, starwars, mulheres;4
Professor Girafalles;tv, chaves;5
Professor Xavier;hq, marvel, heroi;7
Pumba, do "Rei Leão";cinema, disney, animal;4
Punky, a levada da breca;tv, mulheres;5
Quentin Tarantino;cinema;4
Quico;tv, chaves;5
R2D2;cinema, starwars, robo;4
Rafinha Bastos;tv, brasil;5
Rainha Elizabeth II;politica, mulheres;2
Rambo;cinema;4
Ratinho;tv, brasil;5
Ray Charles;musica, negros;3
Regina Duarte;tv, brasil, mulheres;5
Reginaldo Rossi;musica, brasil;3
Rei Arthur;historia;1
Rick Astley;musica;3
Ringo Starr;musica;3
Robert Downey Jr.;cinema;4
Roberto Justus;tv, brasil;5
Robinho;esporte, brasil, futebol;6
Robocop;cinema, starwars, robo;4
Rocky;cinema;4
Rodrigo Faro;tv, brasil;5
Roger Rabbit;cinema, animal;4
Romário;esporte, brasil, futebol;6
Ronaldinho Gaúcho;esporte, brasil, futebol;6
Ronaldo fenômeno;esporte, brasil, futebol;6
Rony Weasley;livros, harrypotter;7
Rubens Barrichello;esporte, brasil;6
Sagati;games, luta;6
Saint Seya;desenho, heroi;7
Salsicha, do Scooby Doo;tv, desenho;5
Samara, d"O Chamado";cinema, mulheres;4
Samuel L. Jackson;cinema, negros;4
Sandra Bullock em "Gravidade";cinema, mulheres;4
Sansão, o coelho da Mônica;hq, brasil;7
Saruman;livros, sda;7
Sauron;livros, sda, vilao;7
Scarlett Johansson;cinema, mulheres;4
Scooby Doo;tv, desenho, animal;5
Sean Connery;cinema;4
Seinfeld;tv;5
Sérgio Mallandro;tv, brasil;5
Seth Macfarlane;cinema;4
Seth Rogen;cinema;4
Seu Madruga;tv, chaves;5
Severus Snape;livros, harrypotter;7
Sheldon, de "The Big Bang Theory";tv;5
